flux,experiment,MAE,MBE,nSD,R,5th,95th,RMSE,cRMSE,AMBE,1-nSD,1-R,nSkewness,nKurtosis,Overlap,site,model
Qle,baseline,20.0792,-16.8272,0.164988,0.437601,7.3163,61.8313,31.6046,0.939587,16.8272,0.835013,0.562399,5.18382,41.3335,0.596665,KR-Jungnang,NOAH-SLUCM
Qle,detailed,20.0774,-16.8138,0.173146,0.421453,7.3163,61.7889,31.613,0.940231,16.8138,0.826854,0.578547,6.868,61.5213,0.587884,KR-Jungnang,NOAH-SLUCM
Qh,baseline,39.3724,-26.2559,1.03543,0.809962,10.509,6.9628,54.8487,0.628328,26.2559,0.0354275,0.190038,0.226157,0.34836,0.382003,KR-Jungnang,NOAH-SLUCM
Qh,detailed,38.7056,-15.5755,1.18606,0.821947,9.58376,30.5647,54.1003,0.676001,15.5755,0.186053,0.178053,0.198683,0.162217,0.3608,KR-Jungnang,NOAH-SLUCM
SWup,baseline,11.9487,8.25642,1.06973,0.940648,1.53117,18.1646,19.3348,0.363103,8.25642,0.0697243,0.0593525,0.580719,1.23903,0.136027,KR-Ochang,NOAH-SLUCM
SWup,detailed,8.74132,2.37513,0.968074,0.939686,1.62267,3.18828,16.6955,0.343213,2.37513,0.031928,0.0603137,0.581766,1.23975,0.10943,KR-Ochang,NOAH-SLUCM
LWup,baseline,19.5654,19.5396,1.16964,0.987225,10.1878,51.1219,24.8572,0.242202,19.5396,0.169636,0.0127753,4.36661,0.30636,0.101935,KR-Ochang,NOAH-SLUCM
LWup,detailed,24.5204,24.5065,1.24717,0.978101,10.8434,71.3038,32.6541,0.340177,24.5065,0.247173,0.0218995,6.25339,0.500511,0.101106,KR-Ochang,NOAH-SLUCM
Qle,baseline,19.8266,-2.90322,0.94875,0.799288,1.99553,5.55119,34.3871,0.619255,2.90322,0.0512512,0.200712,0.140106,0.46199,0.232722,KR-Ochang,NOAH-SLUCM
Qle,detailed,19.8257,-2.90236,0.948716,0.79929,1.99553,5.55119,34.3864,0.619244,2.90236,0.0512853,0.20071,0.140122,0.461973,0.232722,KR-Ochang,NOAH-SLUCM
Qh,baseline,16.679,1.73115,0.973094,0.91302,9.59112,2.99664,27.7225,0.412316,1.73115,0.0269052,0.0869805,0.0203652,0.166528,0.11468,KR-Ochang,NOAH-SLUCM
Qh,detailed,16.275,0.0777088,0.917416,0.914064,9.73705,8.5948,27.2168,0.405584,0.0777088,0.0825831,0.0859361,0.0288055,0.160662,0.124783,KR-Ochang,NOAH-SLUCM
SWup,baseline,24.3765,22.7077,1.73809,0.982488,2.6277,64.308,32.7429,0.778239,22.7077,0.738093,0.0175118,0.735104,0.0234668,0.245232,MX-Escandon,NOAH-SLUCM
SWup,detailed,7.79209,-7.73532,0.947061,0.98278,2.87095,7.16748,9.61128,0.188198,7.73532,0.0529394,0.0172196,0.734651,0.0228074,0.142916,MX-Escandon,NOAH-SLUCM
LWup,baseline,,,,,,,,,,,,,,,MX-Escandon,NOAH-SLUCM
LWup,detailed,,,,,,,,,,,,,,,MX-Escandon,NOAH-SLUCM
Qle,baseline,28.4991,-26.3457,0.147295,0.59623,2.55726,85.4376,42.6199,0.919811,26.3457,0.852705,0.40377,0.144078,0.345041,0.555253,MX-Escandon,NOAH-SLUCM
Qle,detailed,28.4991,-26.3457,0.147295,0.59623,2.55726,85.4376,42.6199,0.919811,26.3457,0.852705,0.40377,0.144078,0.345041,0.555253,MX-Escandon,NOAH-SLUCM
Qh,baseline,34.9183,-21.8755,0.914242,0.792703,9.42121,26.4532,53.0429,0.621606,21.8755,0.0857571,0.207297,0.160229,0.493407,0.313049,MX-Escandon,NOAH-SLUCM
Qh,detailed,36.0135,-10.4373,1.14278,0.806508,10.1715,23.8896,53.8947,0.680167,10.4373,0.142785,0.193492,0.122368,0.262873,0.347819,MX-Escandon,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,MX-Escandon,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,MX-Escandon,NOAH-SLUCM
SWup,baseline,19.9126,19.8865,1.66874,0.985523,1.28973,53.0109,26.4998,0.703935,19.8865,0.668734,0.0144772,0.0556236,0.235322,0.105314,NL-Amsterdam,NOAH-SLUCM
SWup,detailed,3.76727,2.36445,1.05915,0.985477,0.562729,5.72665,5.17705,0.185102,2.36445,0.0591474,0.014523,0.05672,0.247762,0.0699673,NL-Amsterdam,NOAH-SLUCM
LWup,baseline,14.7721,12.6147,1.27626,0.974178,2.27762,37.9235,19.3918,0.377131,12.6147,0.276254,0.0258218,0.097575,0.141203,0.12351,NL-Amsterdam,NOAH-SLUCM
LWup,detailed,17.5154,16.7864,1.29677,0.976106,1.61438,44.2602,22.5967,0.387351,16.7864,0.296768,0.0238935,0.129389,0.104561,0.148514,NL-Amsterdam,NOAH-SLUCM
Qle,baseline,23.6774,-19.5644,0.650412,0.5886,4.50514,35.752,34.5393,0.810784,19.5644,0.349588,0.4114,0.228943,0.543459,0.486508,NL-Amsterdam,NOAH-SLUCM
Qle,detailed,23.6776,-19.5477,0.651461,0.588161,4.50514,35.6965,34.5424,0.811217,19.5477,0.34854,0.411839,0.233237,0.537553,0.497599,NL-Amsterdam,NOAH-SLUCM
Qh,baseline,35.4842,-18.7733,0.948337,0.865264,7.7821,10.4224,50.9347,0.508152,18.7733,0.051663,0.134736,0.702892,0.688232,0.281808,NL-Amsterdam,NOAH-SLUCM
Qh,detailed,34.0233,-13.4468,0.987132,0.866554,9.15496,0.278778,49.6956,0.513443,13.4468,0.0128677,0.133446,0.640831,0.723619,0.239773,NL-Amsterdam,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,NL-Amsterdam,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,NL-Amsterdam,NOAH-SLUCM
SWup,baseline,18.411,17.0047,1.92376,0.931613,0.682719,60.1553,27.4402,1.05662,17.0047,0.923756,0.0683868,0.0749196,1.30597,0.260361,PL-Lipowa,NOAH-SLUCM
SWup,detailed,4.22572,-1.17641,1.04356,0.946013,0.951181,5.01527,6.99869,0.338489,1.17641,0.0435545,0.0539872,0.0626368,1.30146,0.128228,PL-Lipowa,NOAH-SLUCM
LWup,baseline,11.14,-5.39089,1.11525,0.986762,11.1597,15.3766,13.4411,0.206907,5.39089,0.115251,0.0132378,0.484078,1.49037,0.0909775,PL-Lipowa,NOAH-SLUCM
LWup,detailed,11.0876,0.143436,1.17391,0.986325,8.45038,29.5728,14.8599,0.249701,0.143436,0.173905,0.0136749,0.62415,1.61948,0.0856826,PL-Lipowa,NOAH-SLUCM
Qle,baseline,17.6327,-10.68,0.509741,0.638477,12.0016,37.0526,27.5331,0.780333,10.68,0.490259,0.361523,0.910203,1.63245,0.412726,PL-Lipowa,NOAH-SLUCM
Qle,detailed,17.6357,-10.6743,0.510586,0.637459,12.0016,37.0454,27.5467,0.78086,10.6743,0.489414,0.362541,0.933932,1.77967,0.412726,PL-Lipowa,NOAH-SLUCM
Qh,baseline,23.7997,14.4159,1.10088,0.895709,14.0686,34.9652,35.8753,0.489695,14.4159,0.100882,0.104291,0.142251,0.497248,0.13681,PL-Lipowa,NOAH-SLUCM
Qh,detailed,26.6997,18.8099,1.11651,0.891607,14.3777,40.3708,38.7841,0.505586,18.8099,0.116507,0.108393,0.171435,0.533407,0.166763,PL-Lipowa,NOAH-SLUCM
SWup,baseline,20.3678,19.3723,1.87969,0.936659,0.560321,62.1672,29.1099,1.00597,19.3723,0.879686,0.0633406,0.0514476,1.54234,0.241623,PL-Narutowicza,NOAH-SLUCM
SWup,detailed,5.81639,2.35496,1.1614,0.949609,0.0206479,13.4931,8.50311,0.378282,2.35496,0.161396,0.0503914,0.0941537,1.14984,0.0997178,PL-Narutowicza,NOAH-SLUCM
LWup,baseline,13.4706,7.59515,1.13395,0.975611,1.49985,29.6194,17.4787,0.270654,7.59515,0.133949,0.0243891,0.582059,1.32397,0.0606097,PL-Narutowicza,NOAH-SLUCM
LWup,detailed,16.8465,13.4114,1.18538,0.974217,4.86078,42.5115,22.4259,0.309019,13.4114,0.185387,0.025783,0.728014,1.53628,0.0690274,PL-Narutowicza,NOAH-SLUCM
Qle,baseline,26.8782,-19.1155,0.599502,0.617796,13.3126,46.6629,38.8975,0.786551,19.1155,0.4005,0.382204,1.71272,5.84076,0.448025,PL-Narutowicza,NOAH-SLUCM
Qle,detailed,26.877,-19.1013,0.599477,0.617964,13.3144,46.6522,38.8857,0.786424,19.1013,0.400524,0.382036,1.68627,5.54362,0.447931,PL-Narutowicza,NOAH-SLUCM
Qh,baseline,22.6157,-0.222623,0.968342,0.895131,12.9283,1.91422,32.9745,0.451774,0.222623,0.0316607,0.104869,0.100207,0.0219571,0.138465,PL-Narutowicza,NOAH-SLUCM
Qh,detailed,24.1223,2.98908,0.960753,0.888392,11.2689,1.8338,34.0526,0.464754,2.98908,0.0392496,0.111608,0.0439859,0.0696962,0.0998583,PL-Narutowicza,NOAH-SLUCM
SWup,baseline,11.0547,-11.0165,0.860386,0.992164,1.94212,20.5381,13.7868,0.181593,11.0165,0.139614,0.00783601,0.169671,0.067229,0.136543,SG-TelokKurau,NOAH-SLUCM
SWup,detailed,11.0547,-11.0165,0.860386,0.992164,1.94212,20.5381,13.7868,0.181593,11.0165,0.139614,0.00783601,0.169671,0.067229,0.136543,SG-TelokKurau,NOAH-SLUCM
LWup,baseline,43.9661,43.9417,2.57535,0.952703,11.7571,115.256,57.0438,1.65086,43.9417,1.57535,0.0472966,0.10458,1.60192,0.371131,SG-TelokKurau,NOAH-SLUCM
LWup,detailed,43.9661,43.9417,2.57535,0.952703,11.7571,115.256,57.0438,1.65086,43.9417,1.57535,0.0472966,0.10458,1.60192,0.371131,SG-TelokKurau,NOAH-SLUCM
Qle,baseline,25.8542,-23.0927,0.340061,0.662599,2.73621,84.7146,44.3349,0.815471,23.0927,0.659939,0.337401,0.146392,0.543975,0.37104,SG-TelokKurau,NOAH-SLUCM
Qle,detailed,25.8542,-23.0927,0.340061,0.662599,2.73621,84.7146,44.3349,0.815471,23.0927,0.659939,0.337401,0.146392,0.543975,0.37104,SG-TelokKurau,NOAH-SLUCM
Qh,baseline,21.2804,-0.484841,0.990483,0.923683,0.344301,3.13097,33.8912,0.388936,0.484841,0.00951691,0.0763166,0.0848653,0.414304,0.117037,SG-TelokKurau,NOAH-SLUCM
Qh,detailed,21.2804,-0.484841,0.990483,0.923683,0.344301,3.13097,33.8912,0.388936,0.484841,0.00951691,0.0763166,0.0848653,0.414304,0.117037,SG-TelokKurau,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,SG-TelokKurau,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,SG-TelokKurau,NOAH-SLUCM
TairSurf,baseline,0.752914,-0.691262,0.793041,0.95901,0.295594,1.59175,0.943129,0.328399,0.691262,0.206959,0.0409903,0.726063,0.207203,0.169278,SG-TelokKurau,NOAH-SLUCM
TairSurf,detailed,0.752914,-0.691262,0.793041,0.95901,0.295594,1.59175,0.943129,0.328399,0.691262,0.206959,0.0409903,0.726063,0.207203,0.169278,SG-TelokKurau,NOAH-SLUCM
SoilTemp,baseline,2.50608,-2.35485,0.831669,0.736959,1.83215,3.53133,3.26818,0.682541,2.35485,0.168331,0.263041,0.122461,0.543425,0.368401,SG-TelokKurau,NOAH-SLUCM
SoilTemp,detailed,2.50608,-2.35485,0.831669,0.736959,1.83215,3.53133,3.26818,0.682541,2.35485,0.168331,0.263041,0.122461,0.543425,0.368401,SG-TelokKurau,NOAH-SLUCM
SWup,baseline,,,,,,,,,,,,,,,UK-KingsCollege,NOAH-SLUCM
SWup,detailed,2.87821,-1.90357,0.913896,0.987414,0.666381,7.48932,4.53508,0.174411,1.90357,0.0861057,0.0125864,0.0497619,0.252932,0.100281,UK-KingsCollege,NOAH-SLUCM
LWup,baseline,,,,,,,,,,,,,,,UK-KingsCollege,NOAH-SLUCM
LWup,detailed,18.5115,17.3683,1.3468,0.97937,0.555176,45.8049,23.5515,0.419332,17.3683,0.346802,0.0206295,0.0543901,0.0901803,0.162866,UK-KingsCollege,NOAH-SLUCM
Qle,baseline,,,,,,,,,,,,,,,UK-KingsCollege,NOAH-SLUCM
Qle,detailed,16.6731,-8.25526,0.77903,0.391696,7.03401,10.5731,23.048,0.998299,8.25526,0.22097,0.608304,0.710807,0.30901,0.441527,UK-KingsCollege,NOAH-SLUCM
Qh,baseline,,,,,,,,,,,,,,,UK-KingsCollege,NOAH-SLUCM
Qh,detailed,50.8694,-46.0199,0.908098,0.783073,26.2018,42.2551,62.0251,0.634372,46.0199,0.0919044,0.216927,0.322402,0.422794,0.481395,UK-KingsCollege,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,UK-KingsCollege,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,UK-KingsCollege,NOAH-SLUCM
SWup,baseline,9.98197,9.64864,1.2792,0.990206,0.655843,24.7037,13.6168,0.320954,9.64864,0.279201,0.00979448,0.11722,0.526984,0.123939,UK-Swindon,NOAH-SLUCM
SWup,detailed,4.59953,4.0162,1.09853,0.989479,0.744724,7.73834,6.74878,0.181171,4.0162,0.0985322,0.0105205,0.120259,0.533499,0.0997142,UK-Swindon,NOAH-SLUCM
LWup,baseline,14.0173,13.8454,1.23437,0.983762,5.58691,33.9607,17.4842,0.308247,13.8454,0.234369,0.0162378,0.502133,2.06466,0.12713,UK-Swindon,NOAH-SLUCM
LWup,detailed,17.381,17.2469,1.37093,0.970723,6.0943,50.1814,23.64,0.466761,17.2469,0.370932,0.029277,0.987377,5.4367,0.132511,UK-Swindon,NOAH-SLUCM
Qle,baseline,13.4263,-6.41157,0.957013,0.85826,2.48533,2.94582,22.0402,0.52263,6.41157,0.0429864,0.14174,0.241697,0.453484,0.204963,UK-Swindon,NOAH-SLUCM
Qle,detailed,13.4254,-6.40963,0.957212,0.858286,2.48533,2.8946,22.0392,0.52262,6.40963,0.0427872,0.141714,0.242451,0.456849,0.204883,UK-Swindon,NOAH-SLUCM
Qh,baseline,13.7161,2.12366,0.910264,0.947195,13.1909,10.6056,19.824,0.322779,2.12366,0.0897356,0.0528055,0.0704243,0.0658657,0.132463,UK-Swindon,NOAH-SLUCM
Qh,detailed,13.3453,1.73491,0.910533,0.948003,11.1555,12.3993,19.645,0.320459,1.73491,0.0894667,0.0519969,0.032431,0.0170718,0.109772,UK-Swindon,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,UK-Swindon,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,UK-Swindon,NOAH-SLUCM
SWup,baseline,19.4612,18.4323,1.56738,0.964202,0.476,50.5103,28.7738,0.658887,18.4323,0.567376,0.0357978,0.836142,2.46319,0.183872,US-Baltimore,NOAH-SLUCM
SWup,detailed,13.979,12.3681,1.43176,0.956294,0.244644,35.2667,22.435,0.558185,12.3681,0.43176,0.0437064,1.07299,3.50566,0.137073,US-Baltimore,NOAH-SLUCM
LWup,baseline,12.5192,5.63356,1.19049,0.972632,3.56226,38.8663,18.482,0.318515,5.63356,0.190493,0.0273684,7.39207,0.521033,0.0772177,US-Baltimore,NOAH-SLUCM
LWup,detailed,17.2311,9.24672,1.28414,0.952645,3.92459,58.6492,26.5239,0.449839,9.24672,0.284138,0.0473546,11.023,0.83232,0.0844268,US-Baltimore,NOAH-SLUCM
Qle,baseline,25.2284,-4.03362,0.85135,0.815126,13.266,41.5752,42.1794,0.580415,4.03362,0.14865,0.184874,0.192418,0.577554,0.149044,US-Baltimore,NOAH-SLUCM
Qle,detailed,25.2334,-4.025,0.851677,0.815005,13.2831,41.5678,42.1928,0.580613,4.025,0.148323,0.184995,0.193088,0.580244,0.149096,US-Baltimore,NOAH-SLUCM
Qh,baseline,29.3615,-7.07252,0.796637,0.857903,15.496,43.7175,46.4282,0.517452,7.07252,0.203364,0.142097,0.0834045,0.247703,0.132618,US-Baltimore,NOAH-SLUCM
Qh,detailed,28.6678,-7.58137,0.807778,0.864482,13.4155,43.2881,45.4938,0.505852,7.58137,0.192223,0.135518,0.0584055,0.177512,0.126191,US-Baltimore,NOAH-SLUCM
SoilTemp,baseline,2.24922,-1.73122,1.01263,0.973474,2.0191,2.56149,2.77668,0.232123,1.73122,0.0126287,0.0265257,2.81343,0.045182,0.13652,US-Baltimore,NOAH-SLUCM
SoilTemp,detailed,2.24922,-1.73122,1.01263,0.973474,2.0191,2.56149,2.77668,0.232123,1.73122,0.0126287,0.0265257,2.81343,0.045182,0.13652,US-Baltimore,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,US-Baltimore,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,US-Baltimore,NOAH-SLUCM
SWup,baseline,24.5571,-21.1865,0.768939,0.941587,1.35358,86.5571,42.3318,0.378446,21.1865,0.231062,0.0584134,0.134153,0.234571,0.104553,US-Minneapolis1,NOAH-SLUCM
SWup,detailed,22.6587,-18.8934,0.784176,0.940319,1.30812,83.1657,40.8846,0.374407,18.8934,0.215826,0.059681,0.164989,0.290461,0.0933061,US-Minneapolis1,NOAH-SLUCM
LWup,baseline,8.92738,6.79892,1.04662,0.993198,3.13843,14.8187,11.5108,0.12811,6.79892,0.0466205,0.00680218,0.0908098,0.195662,0.0693891,US-Minneapolis1,NOAH-SLUCM
LWup,detailed,9.70509,7.5384,1.07139,0.99239,2.58806,22.7836,13.0128,0.146296,7.5384,0.071384,0.00761005,0.211564,0.00463665,0.0727534,US-Minneapolis1,NOAH-SLUCM
Qle,baseline,18.9232,4.87986,1.02929,0.840534,2.01436,13.6879,32.2351,0.5737,4.87986,0.0292902,0.159466,0.031735,0.255592,0.0973867,US-Minneapolis1,NOAH-SLUCM
Qle,detailed,18.9243,4.87599,1.02929,0.840493,2.01436,13.6879,32.2385,0.573773,4.87599,0.0292926,0.159507,0.0316843,0.255533,0.0974726,US-Minneapolis1,NOAH-SLUCM
Qh,baseline,26.7181,-3.41191,1.00032,0.871378,11.3973,14.8416,42.7549,0.507274,3.41191,0.000322487,0.128622,0.406506,1.28515,0.156952,US-Minneapolis1,NOAH-SLUCM
Qh,detailed,26.296,-5.68885,0.989728,0.872865,8.49069,9.15021,42.5376,0.501761,5.68885,0.0102728,0.127135,0.398867,1.28029,0.138725,US-Minneapolis1,NOAH-SLUCM
Qg,baseline,23.4158,-1.69034,1.06091,0.715844,15.0191,13.2633,34.8181,0.77887,1.69034,0.0609039,0.284156,0.302515,0.105109,0.141094,US-Minneapolis1,NOAH-SLUCM
Qg,detailed,23.4158,-1.69034,1.06091,0.715844,15.0191,13.2633,34.8181,0.77887,1.69034,0.0609039,0.284156,0.302515,0.105109,0.141094,US-Minneapolis1,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,US-Minneapolis1,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,US-Minneapolis1,NOAH-SLUCM
SoilTemp,baseline,3.65968,-3.14312,1.13462,0.966665,7.77203,2.64951,4.50875,0.306215,3.14312,0.134623,0.0333348,7.46503,0.1332,0.271233,US-Minneapolis1,NOAH-SLUCM
SoilTemp,detailed,3.65968,-3.14312,1.13462,0.966665,7.77203,2.64951,4.50875,0.306215,3.14312,0.134623,0.0333348,7.46503,0.1332,0.271233,US-Minneapolis1,NOAH-SLUCM
SWup,baseline,16.433,-7.38331,0.910716,0.940674,1.15179,43.7794,33.8027,0.340632,7.38331,0.0892853,0.0593261,0.140016,0.268669,0.0708004,US-Minneapolis2,NOAH-SLUCM
SWup,detailed,16.3211,-6.85752,0.914171,0.940468,1.14532,43.1756,33.7171,0.340899,6.85752,0.0858302,0.0595324,0.145985,0.279158,0.0689544,US-Minneapolis2,NOAH-SLUCM
LWup,baseline,6.81473,0.104509,0.993268,0.991431,1.27548,3.67584,9.47293,0.130647,0.104509,0.00673289,0.00856936,0.533657,0.376043,0.054329,US-Minneapolis2,NOAH-SLUCM
LWup,detailed,6.72025,0.388308,0.999598,0.991979,1.19968,1.37741,9.18972,0.126636,0.388308,0.000402751,0.00802145,0.449562,0.329331,0.0604604,US-Minneapolis2,NOAH-SLUCM
Qle,baseline,24.6946,3.78885,1.07536,0.861624,1.97833,21.6045,42.6249,0.550715,3.78885,0.0753581,0.138376,0.0112867,0.114915,0.0912849,US-Minneapolis2,NOAH-SLUCM
Qle,detailed,24.6902,3.81385,1.07647,0.861904,1.97833,21.8061,42.6184,0.550602,3.81385,0.0764726,0.138096,0.0124155,0.112665,0.0912849,US-Minneapolis2,NOAH-SLUCM
Qh,baseline,25.8721,-0.421562,1.14426,0.824262,5.96946,36.6722,41.2354,0.650379,0.421562,0.144261,0.175738,0.768142,0.77357,0.13773,US-Minneapolis2,NOAH-SLUCM
Qh,detailed,25.7177,-0.924349,1.13861,0.824988,5.57171,34.7952,40.9876,0.64634,0.924349,0.138613,0.175012,0.762435,0.76814,0.139001,US-Minneapolis2,NOAH-SLUCM
Qg,baseline,23.2371,-1.67633,1.03873,0.711516,13.9933,15.9579,34.6502,0.775122,1.67633,0.0387218,0.288484,0.285541,0.012078,0.132018,US-Minneapolis2,NOAH-SLUCM
Qg,detailed,23.2371,-1.67633,1.03873,0.711516,13.9933,15.9579,34.6502,0.775122,1.67633,0.0387218,0.288484,0.285541,0.012078,0.132018,US-Minneapolis2,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,US-Minneapolis2,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,US-Minneapolis2,NOAH-SLUCM
SoilTemp,baseline,3.65787,-3.1805,1.123,0.966318,7.55017,2.89914,4.49799,0.301292,3.1805,0.122998,0.0336819,7.43201,0.124641,0.278562,US-Minneapolis2,NOAH-SLUCM
SoilTemp,detailed,3.65787,-3.1805,1.123,0.966318,7.55017,2.89914,4.49799,0.301292,3.1805,0.122998,0.0336819,7.43201,0.124641,0.278562,US-Minneapolis2,NOAH-SLUCM
SWup,baseline,8.36647,6.55433,1.1125,0.994332,2.37297,15.8996,10.4743,0.158962,6.55433,0.112502,0.00566841,0.289211,0.0052292,0.110462,US-WestPhoenix,NOAH-SLUCM
SWup,detailed,4.48146,-0.742301,1.02121,0.99402,2.70676,1.1348,5.83117,0.112531,0.742301,0.0212048,0.00597998,0.309149,0.00627595,0.0845644,US-WestPhoenix,NOAH-SLUCM
LWup,baseline,13.9038,10.2854,1.1344,0.988428,1.45575,39.2906,19.3381,0.210522,10.2854,0.134404,0.0115721,0.456153,0.432606,0.0570565,US-WestPhoenix,NOAH-SLUCM
LWup,detailed,18.5834,15.7086,1.20483,0.984979,2.0961,59.0147,26.826,0.279553,15.7086,0.204827,0.015021,0.597263,0.574576,0.052735,US-WestPhoenix,NOAH-SLUCM
Qle,baseline,16.9653,-14.5439,0.308911,0.51846,3.81285,53.6375,28.0055,0.880403,14.5439,0.691089,0.48154,1.99033,8.43725,0.461621,US-WestPhoenix,NOAH-SLUCM
Qle,detailed,16.9654,-14.5423,0.309378,0.518199,3.81285,53.6269,28.0042,0.880384,14.5423,0.690622,0.481801,2.0141,8.61377,0.46155,US-WestPhoenix,NOAH-SLUCM
Qh,baseline,26.2292,14.8527,1.33498,0.958834,4.7649,97.4869,45.4072,0.471302,14.8527,0.334985,0.0411663,0.0326366,0.124818,0.317509,US-WestPhoenix,NOAH-SLUCM
Qh,detailed,24.2901,13.2497,1.29192,0.959571,4.44237,85.7147,41.807,0.435523,13.2497,0.291924,0.0404291,0.0162207,0.192638,0.298118,US-WestPhoenix,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,US-WestPhoenix,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,US-WestPhoenix,NOAH-SLUCM
SoilTemp,baseline,5.06668,-4.70003,0.672966,0.92252,0.410889,15.5216,7.67867,0.459602,4.70003,0.327034,0.0774803,10.3832,0.0187192,0.0945325,US-WestPhoenix,NOAH-SLUCM
SoilTemp,detailed,5.06668,-4.70003,0.672966,0.92252,0.410889,15.5216,7.67867,0.459602,4.70003,0.327034,0.0774803,10.3832,0.0187192,0.0945325,US-WestPhoenix,NOAH-SLUCM
